subject,sentence,attitude,pitchMean
1,1,A,26.8517
1,1,B,32.702
1,1,C,30.9416
1,2,A,23.3914
1,2,B,26.8014
1,2,C,23.6663
1,3,A,10.3445
1,3,B,21.6031
1,3,C,25.5655
1,4,A,25.882
1,4,B,31.9874
1,4,C,29.2183
1,5,A,27.0039
1,5,B,32.3225
1,5,C,31.6281
1,6,A,26.4602
1,6,B,31.6322
1,6,C,29.9533
2,1,A,28.4197
2,1,B,29.027
2,1,C,29.1413
2,2,A,22.0812
2,2,B,24.2041
2,2,C,23.2272
2,3,A,16.9886
2,3,B,19.6229
2,3,C,25.3891
2,4,A,29.1184
2,4,B,26.8812
2,4,C,31.0109
2,5,A,28.6273
2,5,B,27.8105
2,5,C,29.9084
2,6,A,27.2566
2,6,B,28.7695
2,6,C,27.407
3,1,A,28.8563
3,1,B,31.064
3,1,C,31.8758
3,2,A,22.0442
3,2,B,25.1519
3,2,C,25.3923
3,3,A,13.4658
3,3,B,23.7456
3,3,C,28.3758
3,4,A,27.6489
3,4,B,29.0692
3,4,C,31.515
3,5,A,28.1348
3,5,B,32.6396
3,5,C,31.4316
3,6,A,28.4216
3,6,B,31.4584
3,6,C,30.4186
4,1,A,29.3457
4,1,B,31.3444
4,1,C,31.1713
4,2,A,25.7616
4,2,B,25.8032
4,2,C,23.8092
4,3,A,23.3513
4,3,B,24.5506
4,3,C,27.1469
4,4,A,28.2534
4,4,B,28.5142
4,4,C,31.3677
4,5,A,29.4213
4,5,B,30.369
4,5,C,31.3416
4,6,A,29.9921
4,6,B,30.9967
4,6,C,29.6861
5,1,A,30.2344
5,1,B,29.5824
5,1,C,29.4639
5,2,A,23.2935
5,2,B,24.3512
5,2,C,23.2562
5,3,A,22.1712
5,3,B,21.14
5,3,C,23.6575
5,4,A,26.6027
5,4,B,27.8734
5,4,C,29.2942
5,5,A,28.0172
5,5,B,29.0244
5,5,C,29.6338
5,6,A,28.8159
5,6,B,28.984
5,6,C,29.5513
6,1,A,21.1121
6,1,B,21.2474
6,1,C,23.5848
6,2,A,15.8156
6,2,B,18.9257
6,2,C,15.4778
6,3,A,10.7529
6,3,B,16.6443
6,3,C,14.782
6,4,A,21.5937
6,4,B,21.8331
6,4,C,21.2556
6,5,A,20.1365
6,5,B,22.4704
6,5,C,22.1567
6,6,A,19.5388
6,6,B,20.0307
6,6,C,21.6372
7,1,A,20.1215
7,1,B,21.5529
7,1,C,20.5135
7,2,A,9.1107
7,2,B,15.0934
7,2,C,15.0385
7,3,A,11.2423
7,3,B,14.3645
7,3,C,18.0461
7,4,A,18.8212
7,4,B,20.9829
7,4,C,20.6519
7,5,A,19.8897
7,5,B,21.1856
7,5,C,21.2962
7,6,A,18.8863
7,6,B,21.9868
7,6,C,20.8637
8,1,A,25.6942
8,1,B,25.5595
8,1,C,25.9053
8,2,A,19.061
8,2,B,19.9212
8,2,C,19.3018
8,3,A,12.5986
8,3,B,14.1663
8,3,C,19.965
8,4,A,25.716
8,4,B,25.6006
8,4,C,25.8049
8,5,A,25.2641
8,5,B,25.7781
8,5,C,26.1613
8,6,A,25.0685
8,6,B,25.4169
8,6,C,24.8505
9,1,A,17.9767
9,1,B,19.1585
9,1,C,18.3813
9,2,A,12.8552
9,2,B,14.522
9,2,C,15.4153
9,3,A,8.15
9,3,B,10.168
9,3,C,13.1954
9,4,A,19.2703
9,4,B,18.454
9,4,C,17.9828
9,5,A,17.4398
9,5,B,18.4261
9,5,C,16.4946
9,6,A,18.4948
9,6,B,14.8773
9,6,C,15.8013
10,1,A,15.8324
10,1,B,18.2509
10,1,C,16.3654
10,2,A,14.4934
10,2,B,18.4517
10,2,C,15.0184
10,3,A,6.9815
10,3,B,15.2478
10,3,C,17.3562
10,4,A,15.7321
10,4,B,18.2319
10,4,C,17.7713
10,5,A,14.5372
10,5,B,17.0833
10,5,C,17.9709
10,6,A,17.2896
10,6,B,18.9054
10,6,C,19.2584
